ID,Description

SETUP,"How to shoot this card"
S1,"Format the card in the camera first so file numbering is contiguous"
S7,"Optional: set the filename prefix to the group letter (A, B, C...) so you can see at a glance that a group is finished, instead of the usual month letter (H = August). Safe either way - the number keeps climbing across a prefix change, and the app takes only the digits as its sequence"
S2,"RAW+JPEG for every frame unless the row says otherwise"
S3,"Shoot the groups in order, leaving at least 10 seconds between lettered groups - longer is fine and makes the boundary clearer, so do not worry about hitting a number"
S6,"Timing only matters where a row says back to back (B6, C2, D3) - those must be as fast as you can press. Everywhere else a bigger gap is harmless"
S4,"Subject does not matter - point the camera at anything"
S5,"Tell me any row the camera will not do, and the ART BKT selection you settle on in D2"

A,"Baseline - proves defaults are read as defaults, not as invented sequences"
A1,"Single shot, ordinary settings"
A2,"Single shot, ordinary settings"
A3,"Single shot, ordinary settings"

B,"Drive modes - tag 0x600"
B1,"Sequential High burst - hold for about 10 frames"
B2,"Sequential Low burst - about 6 frames"
B3,"Silent (electronic shutter) burst - about 6 frames"
B4,"Self-timer 12s - one frame"
B5,"Anti-shock - one frame"
B6,"Two bursts of 4 frames, pressed back to back as fast as you can - the case the iPad over-merges today"

C,"Brackets that set the shot counter - tag 0x600"
C1,"AE bracket 3 frames - one press"
C2,"AE bracket 5 frames - two presses back to back"
C3,"Focus bracket 10 frames, small step"
C4,"Focus bracket 6 frames at about 2 second shutter - the long-gap case that must not split"
C5,"White balance bracket - one press"
C6,"ISO bracket - one press"

D,"Renders - tags 0x529 ArtFilter and 0x520 PictureMode"
D1,"ART BKT with your current selection - one press"
D2,"SETTING CHANGE: edit the ART BKT selection - drop two filters, add two others, and include both Grainy Film I and Grainy Film II"
D3,"ART BKT with the new selection - two presses back to back"
D4,"Colour Profile 1 - one frame"
D5,"Colour Profile 2 - one frame"
D6,"Colour Profile 3 - one frame"
D7,"Colour Profile 4 - one frame"
D8,"Monochrome Profile 1 - one frame"
D9,"Monochrome Profile 2 - one frame"
D10,"Monochrome Profile 3 - one frame"
D11,"Monochrome Profile 4 - one frame"
D12,"Partial Color - one frame, any wheel colour"
D13,"Partial Color - one frame, a different wheel colour"
D14,"Vivid - one frame"
D15,"Natural - one frame"
D16,"Muted - one frame"
D17,"Portrait - one frame"
D18,"i-Enhance - one frame"

E,"In-camera composites - tag 0x804"
E1,"In-camera focus stacking - 8 source frames"
E2,"Live Composite - about 1 minute"
E3,"Live ND at ND2 - one frame"
E4,"Live ND at ND64 - one frame"
E5,"Live GND at GND2 - one frame"
E6,"Live GND at GND8 - one frame"
E7,"Handheld High Res - one frame"
E8,"Tripod High Res - one frame"
E9,"HDR1 - one frame"
E10,"HDR2 - one frame"
E11,"Multiple exposure of 2 frames"

F,"Interval shooting - tag 0x605"
F1,"Interval run - 10 frames at 3 second interval"
F2,"One hand-shot frame within a second or two of F1 finishing"
F3,"Second interval run - 5 frames, to show the counter restarting"

G,"Container coverage - the note sits in the JPEG APP1 segment but inside the ORF TIFF tree"
G1,"Three frames JPEG only, RAW off"
G2,"Three frames RAW only"
G3,"One frame at a smaller JPEG size or quality"
G4,"Switch back to RAW+JPEG and shoot one frame"
